SERIE,NVONRO,NSEGRUP,NSE,SEXO,GEDAD,EDAD,NIVEDU,P10A,P10B,P10C,P11A,P11B,P11C,P12A,P12B,P12C,P12D,P12E,P12F,P12G,P12H,P13A,P13B,P13C,P13D,P13E,P13F,P13G,P13H,index_O,index_B
2012,20120039,AB,2,Hombre,2,35,Superior universitaria completa,3,3,3,3,3,3,0,0,0,0,0,0,0,0,2,2,2,2,1,1,1,1,0,0
2012,20120040,AB,1,Hombre,1,25,Superior universitaria incompleta,2,3,4,2,2,2,0,0,0,0,0,0,0,0,1,2,2,1,1,1,1,1,0,0
2012,20120041,DE,4,Mujer,2,42,SecundariaCompleta,3,3,3,3,3,3,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,4,1
2012,20120042,AB,2,Hombre,1,29,Superior universitaria completa,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1
2012,20120043,AB,2,Hombre,1,29,Superiortecnica completa,2,3,3,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,1,2,0,0
2012,20120044,C,3,Mujer,3,50,Ninguna,2,4,4,2,2,2,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
2012,20120045,DE,4,Hombre,3,67,Primaria,3,3,3,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0
2012,20120046,DE,5,Hombre,2,42,SecundariaIncompleta,3,3,3,3,3,3,0,0,0,0,0,0,0,0,1,2,2,1,1,1,1,1,0,0
2012,20120047,C,3,Mujer,3,64,SecundariaIncompleta,3,3,3,2,2,3,0,0,0,0,0,0,0,0,1,2,2,1,1,1,1,1,0,0
2012,20120048,C,3,Mujer,1,19,SecundariaIncompleta,3,4,4,3,3,3,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,5,1
2012,20120049,AB,2,Mujer,3,80,Superiortecnica completa,2,3,4,3,3,3,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0
2012,20120050,AB,2,Hombre,3,65,Postgrado,3,4,4,2,2,2,0,0,0,0,1,0,1,0,1,2,2,2,1,1,1,1,2,1
2012,20120051,AB,1,Mujer,2,39,Postgrado,3,4,4,3,3,3,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,2,1
2012,20120052,AB,2,Mujer,2,30,Superior universitaria completa,3,4,4,2,2,2,0,0,0,0,0,0,0,0,1,2,2,1,1,1,1,1,0,0
2012,20120053,AB,2,Hombre,2,40,Superiortecnica completa,1,1,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,1,1,1,1,1,0,0
2012,20120054,AB,2,Mujer,1,21,Superior universitaria incompleta,3,4,4,2,2,2,1,1,1,1,1,0,1,1,2,2,2,1,1,1,1,1,7,1
2012,20120055,C,3,Hombre,1,29,SecundariaCompleta,2,3,3,2,2,2,0,0,0,0,0,0,0,0,2,2,2,1,1,1,1,1,0,0
2012,20120056,AB,2,Hombre,1,19,SecundariaCompleta,2,3,3,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0
2012,20120057,C,3,Mujer,3,57,SecundariaIncompleta,3,4,4,3,3,3,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0
